name,folder,date,bytes,isdir,datenum,maxFreq,meanFreq,minFreq,ctrlength,tempres,veclength
IG_146.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:04,984,0,737967.657685185,44437.5,20473.1657608696,8437.5,0.092,0.000111111111111111,828
IG_147.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:04,746,0,737967.657685185,65812.5,56771.4024777637,49781.25,0.0874444444444444,0.000111111111111111,787
IG_148.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:06,1077,0,737967.657708333,48937.5,21388.266509434,6187.5,0.117777777777778,0.000111111111111111,1060
IG_149.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:04,661,0,737967.657685185,14062.5,9574.26330798479,7593.75,0.0876666666666667,0.000111111111111111,789
IG_15.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:04,1306,0,737967.657685185,32671.875,22809.6133474576,15046.875,0.393333333333333,0.000666666666666667,590
IG_150.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:04,1114,0,737967.657685185,28687.5,12106.5,7875,0.166666666666667,0.000111111111111111,1500
IG_151.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:04,818,0,737967.657685185,34312.5,16537.0667522465,7593.75,0.0865555555555556,0.000111111111111111,779
IG_152.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:04,879,0,737967.657685185,38812.5,13136.0576923077,5062.5,0.065,0.000111111111111111,585
IG_153.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:06,750,0,737967.657708333,31500,13307.2850821745,7593.75,0.0878888888888889,0.000111111111111111,791
IG_154.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:06,1007,0,737967.657708333,47812.5,16346.3973799127,7875,0.127222222222222,0.000111111111111111,1145
IG_155.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:06,1101,0,737967.657708333,42750,17937.076787649,7593.75,0.205111111111111,0.000111111111111111,1846
IG_156.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:08,1253,0,737967.657731481,48375,20690.1194607581,7312.5,0.208111111111111,0.000111111111111111,1873
IG_157.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:06,1448,0,737967.657708333,50625,27027.3860123648,8718.75,0.215666666666667,0.000111111111111111,1941
IG_158.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:06,1190,0,737967.657708333,47812.5,17412.1256633814,6750,0.146555555555556,0.000111111111111111,1319
IG_159.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:06,1281,0,737967.657708333,50625,19232.8162711183,6187.5,0.276222222222222,0.000111111111111111,2486
IG_16.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:02,1086,0,737967.657662037,32718.75,13146.5435606061,6843.75,0.396,0.000666666666666667,594
IG_160.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:06,1366,0,737967.657708333,51187.5,29609.4353281853,7312.5,0.201444444444444,0.000111111111111111,1813
IG_161.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:04,1140,0,737967.657685185,48937.5,25674.6281464531,5906.25,0.145666666666667,0.000111111111111111,1311
IG_162.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:06,756,0,737967.657708333,30937.5,18183.8716004184,11812.5,0.106222222222222,0.000111111111111111,956
IG_163.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:06,777,0,737967.657708333,28406.25,14166.5170556553,6187.5,0.0618888888888889,0.000111111111111111,557
IG_164.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:04,887,0,737967.657685185,38812.5,19739.2113095238,10687.5,0.084,0.000111111111111111,756
IG_165.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:06,1073,0,737967.657708333,25312.5,14971.1299668874,3937.5,0.402666666666667,0.000111111111111111,3624
IG_166.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:04,1303,0,737967.657685185,43031.25,18325.0131717597,6187.5,0.316333333333333,0.000111111111111111,2847
IG_167.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:06,1536,0,737967.657708333,44437.5,36510.3158463756,24187.5,0.539555555555556,0.000111111111111111,4856
IG_168.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:04,1329,0,737967.657685185,36562.5,27510.1711026616,10687.5,0.438333333333333,0.000111111111111111,3945
IG_169.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:06,881,0,737967.657708333,25312.5,16701.290429774,7312.5,0.250777777777778,0.000111111111111111,2257
IG_17.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:00,942,0,737967.657638889,17437.5,13866.1912751678,9609.375,0.298,0.000666666666666667,447
IG_170.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:06,1023,0,737967.657708333,34312.5,23117.3086648685,5062.5,0.164777777777778,0.000111111111111111,1483
IG_171.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:06,1152,0,737967.657708333,29812.5,16682.3053440126,5062.5,0.423111111111111,0.000111111111111111,3808
IG_172.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:06,1310,0,737967.657708333,45281.25,28994.3578070515,12937.5,0.286777777777778,0.000111111111111111,2581
IG_173.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:06,1162,0,737967.657708333,36281.25,21447.1997591191,5062.5,0.161444444444444,0.000111111111111111,1453
IG_174.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:06,1329,0,737967.657708333,50343.75,20850.0417130145,6750,0.199777777777778,0.000111111111111111,1798
IG_175.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:06,1155,0,737967.657708333,42187.5,13330.8689421574,3937.5,0.213222222222222,0.000111111111111111,1919
IG_176.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:04,1261,0,737967.657685185,50062.5,22635.2008928571,3937.5,0.155555555555556,0.000111111111111111,1400
IG_177.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:04,1353,0,737967.657685185,53437.5,32842.2426970109,6187.5,0.163555555555556,0.000111111111111111,1472
IG_178.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:06,1028,0,737967.657708333,36281.25,20790.46875,5062.5,0.133333333333333,0.000111111111111111,1200
IG_179.ctr,C:\Users\sjfwa\Documents\WhistleContours,25-Jun-2020 15:47:04,872,0,737967.657685185,30937.5,12281.7073170732,6187.5,0.182222222222222,0.000111111111111111,1640
